Roll No,Name,Gender,Age,Maths,Physics,Chemistry,English,Computer,Total Marks,Percentage,Attendance (%),Extra Curricular,Maths_Standardized,Gender_Encoded,Extra Curricular_Dance,Extra Curricular_Drama,Extra Curricular_Music,Extra Curricular_None,Extra Curricular_Science Club,Extra Curricular_Sports
STU1552,Eta Nagy,Female,21,1,14,69,37,58,179,35.8,66.17,Sports,-1.6866228665746523,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1553,Nimrat Roy,Female,22,17,61,48,41,44,211,42.2,70.84,Sports,-1.1359787704027122,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1554,Rachana Brahmbhatt,Female,18,66,44,36,16,7,169,33.8,70.87,Science Club,0.5503687741238539,0,0.0,0.0,0.0,0.0,1.0,0.0
STU1555,Teerth Manne,Male,20,35,33,10,95,52,225,45.0,99.99,Music,-0.5165041622092797,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1556,Jai Merchant,Male,17,45,13,56,82,11,207,41.4,74.3,Music,-0.1723516021018173,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1557,Advik Iyengar,Male,21,1,38,65,26,39,169,33.8,78.15,Music,-1.6866228665746523,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1558,Jai Natt,Male,21,7,92,65,63,22,249,49.8,97.63,Drama,-1.4801313305101746,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1559,Yashasvi Sharma,Female,18,51,4,92,44,93,284,56.8,97.9,Dance,0.034139933962660185,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1560,Ojas Venkataraman,Male,17,92,17,63,63,63,298,59.6,90.72,Drama,1.4451654304032564,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1561,Nidra Peri,Female,18,71,48,66,96,97,378,75.6,62.36,Sports,0.7224450541775852,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1562,Rachit Korpal,Male,19,39,72,92,50,75,328,65.6,73.52,Drama,-0.3788431381662948,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1563,Oliver Chaudhari,Male,22,83,86,94,83,56,402,80.4,99.9,Sports,1.1354281263065402,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1564,Riya Toor,Female,20,67,20,55,49,55,246,49.2,90.45,Sports,0.5847840301346001,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1565,Harita Chad,Female,18,74,86,69,15,18,262,52.4,98.3,Dance,0.8256908222098239,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1566,Harini Sastry,Female,18,96,50,49,25,95,315,63.0,88.07,Sports,1.5828264544462414,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1567,Brinda Bhardwaj,Female,17,31,76,74,20,24,225,45.0,87.78,Drama,-0.6541651862522648,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1568,Ekanta Shankar,Female,17,21,12,66,8,84,191,38.2,69.03,Music,-0.9983177463597273,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1569,Saksham Misra,Male,19,67,5,93,34,33,232,46.4,67.22,Dance,0.5847840301346001,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1570,Ronith Sachdeva,Male,18,3,65,63,4,66,201,40.2,84.61,Music,-1.6177923545531598,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1571,Wishi Anand,Female,21,56,47,20,52,19,194,38.8,61.96,Drama,0.20621621401639142,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1572,Yasti Misra,Female,21,28,10,77,28,40,183,36.6,74.04,Sports,-0.7574109542845036,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1573,Luke Jayaraman,Male,18,13,47,86,65,61,272,54.4,82.91,Science Club,-1.2736397944456972,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1574,Lekha Sura,Female,21,22,83,59,60,68,292,58.4,62.63,Dance,-0.963902490348981,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1575,Xiti Manda,Female,18,21,98,55,54,77,305,61.0,68.15,Music,-0.9983177463597273,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1576,Balvan Chad,Male,19,32,37,24,57,96,246,49.2,75.87,Music,-0.6197499302415185,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1577,Amaira Mukhopadhyay,Female,21,30,36,59,90,57,272,54.4,64.48,Dance,-0.6885804422630111,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1578,Bhavya Parekh,Female,17,85,96,70,61,91,403,80.6,84.17,None,1.2042586383280327,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1579,Abeer Mistry,Male,17,42,73,70,91,45,321,64.2,82.17,Drama,-0.27559737013405605,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1580,Vritti Varma,Female,19,100,38,79,67,49,333,66.6,80.28,Dance,1.7204874784892263,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1581,Yatin Dalal,Male,21,40,4,52,4,71,171,34.2,81.44,None,-0.34442788215554854,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1582,Madhav Tiwari,Male,21,26,16,89,46,85,262,52.4,78.39,Sports,-0.826241466305996,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1583,Bishakha Kapur,Female,22,93,98,9,51,36,287,57.4,79.97,Science Club,1.4795806864140026,0,0.0,0.0,0.0,0.0,1.0,0.0
STU1584,Praneel Bir,Male,18,29,71,64,19,26,209,41.8,90.62,Music,-0.7229956982737573,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1585,Vidhi Chanda,Female,21,87,68,5,52,27,239,47.8,77.2,Dance,1.2730891503495252,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1586,Ganga Dhingra,Female,19,72,95,57,74,0,298,59.6,84.79,Sports,0.7568603101883314,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1587,Saumya Sangha,Female,19,67,66,84,75,2,294,58.8,86.71,Music,0.5847840301346001,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1588,Jyoti Pillai,Female,22,20,62,7,62,39,190,38.0,82.25,Drama,-1.0327330023704735,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1589,Ojas Guha,Male,18,97,93,66,70,10,336,67.2,70.14,Music,1.6172417104569876,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1590,Yug Mital,Male,20,18,16,12,95,34,175,35.0,100.0,Drama,-1.101563514391966,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1591,Suhani Prabhu,Female,19,43,58,43,87,23,254,50.8,75.55,Dance,-0.2411821141233098,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1592,Veer Krishna,Male,21,35,7,62,33,93,230,46.0,98.33,None,-0.5165041622092797,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1593,Atharv Varghese,Male,20,16,18,50,20,80,184,36.8,90.59,Sports,-1.1703940264134585,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1594,Frederick Dugar,Male,22,37,98,4,79,34,252,50.4,99.88,None,-0.44767365018778726,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1595,Yachana Bora,Female,22,29,60,8,16,53,166,33.2,66.94,Sports,-0.7229956982737573,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1596,Matthew Kumar,Male,22,57,71,87,48,26,289,57.8,86.63,Dance,0.24063147002713767,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1597,Lavanya Nagy,Female,17,50,39,87,58,80,314,62.8,77.9,Sports,-0.0002753220480860619,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1598,Chaitaly Bawa,Female,19,53,16,53,43,71,236,47.2,79.78,Science Club,0.10297044598415268,0,0.0,0.0,0.0,0.0,1.0,0.0
STU1599,Viraj Narain,Male,22,54,68,89,73,52,336,67.2,94.44,Science Club,0.13738570199489894,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1600,Faris Krishnan,Male,20,81,88,2,97,17,285,57.0,62.98,Sports,1.0665976142850477,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1601,Om Srinivasan,Male,18,41,37,78,26,47,229,45.8,68.08,Drama,-0.3100126261448023,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1602,Chanakya Mistry,Male,22,74,50,86,91,94,395,79.0,94.03,Science Club,0.8256908222098239,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1603,Waida Chaudhary,Female,19,97,82,33,10,68,290,58.0,95.4,None,1.6172417104569876,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1604,Zaitra Kohli,Female,22,62,28,29,4,86,209,41.8,87.67,None,0.4127077500808689,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1605,Gautami Goda,Female,20,83,90,75,38,21,307,61.4,62.04,None,1.1354281263065402,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1606,Wriddhish Bumb,Male,17,92,42,39,47,17,237,47.4,63.5,Music,1.4451654304032564,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1607,Pratyush Varma,Male,18,36,74,85,65,55,315,63.0,71.68,Science Club,-0.48208890619853356,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1608,Nachiket Mander,Male,19,5,0,84,79,95,263,52.6,67.0,Science Club,-1.5489618425316671,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1609,Chandresh Sharma,Male,20,86,1,80,26,1,194,38.8,82.22,Dance,1.238673894338779,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1610,Janani Parmar,Female,22,1,49,23,50,89,212,42.4,60.79,Music,-1.6866228665746523,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1611,Zarna Balan,Female,22,9,97,65,57,57,285,57.0,90.23,Sports,-1.4113008184886822,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1612,Januja Pall,Female,22,8,18,50,65,91,232,46.4,75.17,Music,-1.4457160744994284,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1613,Nathaniel Subramaniam,Male,18,42,38,3,10,18,111,22.2,75.64,Dance,-0.27559737013405605,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1614,Maya Korpal,Female,19,91,28,94,3,57,273,54.6,75.34,Science Club,1.4107501743925102,0,0.0,0.0,0.0,0.0,1.0,0.0
STU1615,Ekiya Brahmbhatt,Female,21,17,15,30,85,13,160,32.0,82.62,Science Club,-1.1359787704027122,0,0.0,0.0,0.0,0.0,1.0,0.0
STU1616,Ira Kumer,Female,17,6,13,46,58,33,156,31.2,90.44,Science Club,-1.514546586520921,0,0.0,0.0,0.0,0.0,1.0,0.0
STU1617,Warhi Tella,Female,17,37,100,80,72,7,296,59.2,78.77,None,-0.44767365018778726,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1618,Samar Tata,Male,19,4,91,46,89,76,306,61.2,88.55,Science Club,-1.5833770985424134,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1619,Yahvi Amble,Female,18,68,21,25,53,52,219,43.8,88.52,Music,0.6191992861453464,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1620,Advay Parikh,Male,18,19,75,17,97,1,209,41.8,70.51,Sports,-1.0671482583812197,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1621,Vasatika Choudhary,Female,17,63,77,47,82,87,356,71.2,76.82,Music,0.44712300609161515,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1622,Siya Rana,Female,19,56,60,25,11,85,237,47.4,82.82,Science Club,0.20621621401639142,0,0.0,0.0,0.0,0.0,1.0,0.0
STU1623,Meghana Sagar,Female,18,24,46,37,77,20,204,40.8,93.45,None,-0.8950719783274885,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1624,Zilmil Dar,Female,20,9,6,19,4,60,98,19.6,90.94,Dance,-1.4113008184886822,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1625,Bhavini Butala,Female,19,1,34,51,67,49,202,40.4,83.67,Dance,-1.6866228665746523,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1626,Gautami Bakshi,Female,20,38,37,94,22,80,271,54.2,68.96,Dance,-0.413258394177041,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1627,Hamsini Vyas,Female,21,27,82,5,32,43,189,37.8,79.44,Drama,-0.7918262102952498,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1628,Odika Murthy,Female,19,42,99,61,76,34,312,62.4,87.79,Drama,-0.27559737013405605,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1629,Timothy Walla,Male,18,54,18,99,9,27,207,41.4,77.37,None,0.13738570199489894,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1630,Samar Bumb,Male,22,81,13,81,11,72,258,51.6,74.99,Science Club,1.0665976142850477,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1631,Vrinda Ravi,Female,18,15,38,44,99,61,257,51.4,61.87,Music,-1.2048092824242047,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1632,Nakul Mahal,Male,17,16,12,80,48,26,182,36.4,97.65,None,-1.1703940264134585,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1633,Ranbir Pandey,Male,21,99,71,83,27,40,320,64.0,66.95,Drama,1.68607222247848,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1634,Anika Seth,Female,22,1,42,8,77,14,142,28.4,79.73,None,-1.6866228665746523,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1635,Janaki Vohra,Female,19,21,86,12,96,37,252,50.4,61.26,None,-0.9983177463597273,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1636,Wazir Ratta,Male,19,56,12,96,59,24,247,49.4,81.42,None,0.20621621401639142,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1637,Hemangini Bajwa,Female,18,63,44,3,10,30,150,30.0,94.62,None,0.44712300609161515,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1638,Nidra Mahajan,Female,22,21,96,18,71,81,287,57.4,75.54,Sports,-0.9983177463597273,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1639,Vyanjana Raj,Female,21,57,83,25,9,34,208,41.6,94.12,None,0.24063147002713767,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1640,Upasna Yadav,Female,17,22,43,40,38,66,209,41.8,69.02,Sports,-0.963902490348981,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1641,Dominic Venkataraman,Male,20,29,100,16,79,44,268,53.6,74.13,None,-0.7229956982737573,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1642,Zehaan Shenoy,Male,17,65,7,81,3,38,194,38.8,86.74,Drama,0.5159535181131076,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1643,Maya Seshadri,Female,19,85,63,71,92,56,367,73.4,65.86,Sports,1.2042586383280327,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1644,Victor Saini,Male,18,57,27,8,79,100,271,54.2,96.16,None,0.24063147002713767,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1645,Gayathri Arora,Female,21,79,89,5,22,0,195,39.0,79.89,Sports,0.9977671022635551,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1646,Jai Zacharia,Male,22,98,32,32,95,28,285,57.0,69.2,None,1.6516569664677339,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1647,Dipta Gill,Female,22,29,81,88,14,55,267,53.4,91.0,Music,-0.7229956982737573,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1648,Oscar Murty,Male,21,26,87,45,7,7,172,34.4,76.72,Sports,-0.826241466305996,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1649,Hardik Bedi,Male,19,99,39,73,42,18,271,54.2,61.11,None,1.68607222247848,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1650,Reva Keer,Female,21,91,64,53,2,46,256,51.2,74.82,Dance,1.4107501743925102,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1651,Upkaar Narasimhan,Male,19,85,22,10,77,81,275,55.0,88.18,Drama,1.2042586383280327,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1652,Varsha Vig,Female,20,8,3,28,38,6,83,16.6,63.33,Dance,-1.4457160744994284,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1653,Ridhi Solanki,Female,22,82,62,100,69,50,363,72.6,91.14,Sports,1.101012870295794,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1654,Max Devan,Male,17,74,11,12,1,81,179,35.8,65.41,None,0.8256908222098239,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1655,Jeremiah Bora,Male,21,68,86,26,71,30,281,56.2,63.36,None,0.6191992861453464,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1656,Nisha Ravi,Female,22,80,32,84,71,10,277,55.4,61.42,Dance,1.0321823582743015,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1657,Nathan Dhaliwal,Male,21,10,28,99,97,72,306,61.2,62.52,Science Club,-1.376885562477936,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1658,Sara Chad,Female,21,25,1,98,81,17,222,44.4,69.24,Music,-0.8606567223167423,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1659,Sneha Merchant,Female,22,34,44,99,64,13,254,50.8,69.56,Drama,-0.550919418220026,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1660,Wriddhish Boase,Male,19,99,78,63,60,28,328,65.6,61.7,Sports,1.68607222247848,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1661,Chanchal Sastry,Female,19,36,78,66,75,22,277,55.4,88.73,Science Club,-0.48208890619853356,0,0.0,0.0,0.0,0.0,1.0,0.0
STU1662,Jairaj Mital,Male,22,35,24,56,70,62,247,49.4,67.82,None,-0.5165041622092797,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1663,Mahika Korpal,Female,21,50,5,53,0,4,112,22.4,62.31,Drama,-0.0002753220480860619,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1664,Ucchal Natarajan,Female,20,18,92,68,96,41,315,63.0,71.79,None,-1.101563514391966,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1665,Indrajit Chokshi,Male,20,74,8,72,66,60,280,56.0,86.7,Science Club,0.8256908222098239,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1666,Zaid Kumer,Male,17,4,9,77,23,21,134,26.8,76.22,Dance,-1.5833770985424134,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1667,Karan Toor,Male,22,92,89,54,91,66,392,78.4,84.4,Sports,1.4451654304032564,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1668,Neha Bali,Female,22,68,33,11,79,85,276,55.2,70.21,Music,0.6191992861453464,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1669,Lohit Sem,Male,17,40,49,75,94,48,306,61.2,87.5,Dance,-0.34442788215554854,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1670,Anirudh Mittal,Male,22,34,56,14,54,34,192,38.4,91.24,Sports,-0.550919418220026,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1671,Dominic Murty,Male,19,63,86,62,79,96,386,77.2,66.01,Sports,0.44712300609161515,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1672,Neel Ben,Male,17,51,17,50,80,84,282,56.4,96.07,Dance,0.034139933962660185,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1673,Lekha Sastry,Female,22,76,81,62,81,44,344,68.8,91.7,Drama,0.8945213342313164,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1674,Akshay Anand,Male,18,8,24,43,34,19,128,25.6,90.95,Drama,-1.4457160744994284,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1675,Ekbal Khanna,Male,21,17,7,14,81,73,192,38.4,96.62,Sports,-1.1359787704027122,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1676,Ethan Atwal,Male,21,72,65,39,58,39,273,54.6,97.49,Science Club,0.7568603101883314,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1677,Falak Kashyap,Female,22,64,67,5,63,35,234,46.8,80.57,Dance,0.4815382621023614,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1678,Vihaan Dhar,Male,19,37,94,90,51,53,325,65.0,84.86,Dance,-0.44767365018778726,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1679,Kashvi Merchant,Female,17,45,88,86,52,95,366,73.2,93.91,Science Club,-0.1723516021018173,0,0.0,0.0,0.0,0.0,1.0,0.0
STU1680,Aarnav Bandi,Male,19,40,66,54,95,14,269,53.8,81.69,Dance,-0.34442788215554854,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1681,Yutika Apte,Female,20,66,79,89,19,59,312,62.4,67.29,Sports,0.5503687741238539,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1682,Hritik Kibe,Male,20,24,21,22,64,28,159,31.8,89.43,None,-0.8950719783274885,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1683,Finn Ranganathan,Male,17,45,57,39,81,23,245,49.0,88.71,Science Club,-0.1723516021018173,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1684,Aarna Barman,Female,21,27,91,1,85,96,300,60.0,68.39,None,-0.7918262102952498,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1685,Samuel Khalsa,Male,19,10,78,64,0,72,224,44.8,88.09,Science Club,-1.376885562477936,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1686,Janaki Baria,Female,22,0,86,70,34,3,193,38.6,64.58,Science Club,-1.7210381225853986,0,0.0,0.0,0.0,0.0,1.0,0.0
STU1687,Nisha Ganguly,Female,18,94,42,95,46,42,319,63.8,60.89,Dance,1.5139959424247489,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1688,Vincent Kothari,Male,20,18,74,44,73,78,287,57.4,60.15,Science Club,-1.101563514391966,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1689,Kevin Chowdhury,Male,17,35,41,47,57,54,234,46.8,76.08,Sports,-0.5165041622092797,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1690,Ekani Seshadri,Female,22,54,29,61,87,5,236,47.2,60.11,Drama,0.13738570199489894,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1691,Turvi Verma,Female,18,6,89,40,99,11,245,49.0,86.84,Music,-1.514546586520921,0,0.0,0.0,1.0,0.0,0.0,0.0
STU1692,Arin Iyengar,Male,19,0,46,100,7,67,220,44.0,62.37,Sports,-1.7210381225853986,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1693,Ekansh Bath,Male,20,7,80,70,4,47,208,41.6,77.65,Sports,-1.4801313305101746,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1694,Meera Tak,Female,21,15,100,40,75,90,320,64.0,69.26,None,-1.2048092824242047,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1695,Balveer Khurana,Male,19,52,80,99,54,54,339,67.8,90.35,Music,0.06855518997340644,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1696,Siya Sridhar,Female,19,22,50,87,21,85,265,53.0,97.1,Drama,-0.963902490348981,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1697,Krishna Agate,Male,19,86,52,26,43,19,226,45.2,71.63,Dance,1.238673894338779,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1698,Waida Dora,Female,18,73,28,79,26,73,279,55.8,75.48,Sports,0.7912755661990777,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1699,Ubika Ramesh,Female,20,14,63,50,67,30,224,44.8,69.65,Sports,-1.239224538434951,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1700,Gautam Chander,Male,17,38,95,1,64,83,281,56.2,82.2,Drama,-0.413258394177041,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1701,Gauri Thakkar,Female,21,39,4,67,9,86,205,41.0,68.75,None,-0.3788431381662948,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1702,Kala Kannan,Female,17,95,62,16,89,26,288,57.6,70.94,Science Club,1.5484111984354951,0,0.0,0.0,0.0,0.0,1.0,0.0
STU1703,Warjas Solanki,Male,17,42,98,47,57,30,274,54.8,80.55,Music,-0.27559737013405605,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1704,Kala Bhandari,Female,17,74,88,36,36,40,274,54.8,60.7,Drama,0.8256908222098239,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1705,Tejas Agate,Male,20,94,1,10,11,59,175,35.0,74.82,None,1.5139959424247489,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1706,Agastya Loyal,Male,22,54,100,36,95,78,363,72.6,92.54,Dance,0.13738570199489894,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1707,Devika Modi,Female,20,4,44,56,41,59,204,40.8,66.36,None,-1.5833770985424134,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1708,Harsh Gandhi,Male,18,33,61,85,4,90,273,54.6,84.07,Drama,-0.5853346742307722,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1709,Nihal Dugar,Male,17,76,51,24,7,65,223,44.6,61.01,Drama,0.8945213342313164,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1710,Ekavir Chawla,Male,21,98,9,29,15,56,207,41.4,80.27,Music,1.6516569664677339,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1711,Vaishnavi Mani,Female,19,30,76,57,82,17,262,52.4,75.09,Drama,-0.6885804422630111,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1712,Jason Grover,Male,20,10,80,39,50,66,245,49.0,85.13,Dance,-1.376885562477936,1,1.0,0.0,0.0,0.0,0.0,0.0
STU1713,Ekansh Saraf,Male,19,61,14,71,20,35,201,40.2,72.96,Science Club,0.37829249407012266,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1714,Nitara Nayar,Female,18,15,54,81,13,31,194,38.8,93.26,None,-1.2048092824242047,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1715,Hemani Majumdar,Female,19,10,52,46,38,8,154,30.8,63.78,Drama,-1.376885562477936,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1716,Tamanna Seth,Female,21,72,73,76,15,31,267,53.4,63.65,Sports,0.7568603101883314,0,0.0,0.0,0.0,0.0,0.0,1.0
STU1717,Imaran Baral,Male,20,30,14,48,57,98,247,49.4,84.32,Sports,-0.6885804422630111,1,0.0,0.0,0.0,0.0,0.0,1.0
STU1718,Jackson Nori,Male,21,45,24,17,82,62,230,46.0,75.68,Music,-0.1723516021018173,1,0.0,0.0,1.0,0.0,0.0,0.0
STU1719,Raagini Mistry,Female,21,79,8,83,72,94,336,67.2,73.12,Dance,0.9977671022635551,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1720,Kabir Lad,Male,18,94,2,92,89,90,367,73.4,63.44,Science Club,1.5139959424247489,1,0.0,0.0,0.0,0.0,1.0,0.0
STU1721,Bishakha Verma,Female,19,10,55,66,95,76,302,60.4,83.12,None,-1.376885562477936,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1722,Chaaya Sachar,Female,22,33,83,76,73,52,317,63.4,62.91,None,-0.5853346742307722,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1723,Hemani Anne,Female,21,88,84,66,81,63,382,76.4,69.45,Drama,1.3075044063602714,0,0.0,1.0,0.0,0.0,0.0,0.0
STU1724,Yahvi Krishnamurthy,Female,22,72,45,17,22,4,160,32.0,88.93,None,0.7568603101883314,0,0.0,0.0,0.0,1.0,0.0,0.0
STU1725,Wyatt Rattan,Male,21,3,87,84,73,58,305,61.0,96.14,None,-1.6177923545531598,1,0.0,0.0,0.0,1.0,0.0,0.0
STU1726,Praneel Doshi,Male,17,18,2,2,51,68,141,28.2,96.54,Drama,-1.101563514391966,1,0.0,1.0,0.0,0.0,0.0,0.0
STU1727,Reva Menon,Female,20,93,89,64,63,15,324,64.8,96.59,Dance,1.4795806864140026,0,1.0,0.0,0.0,0.0,0.0,0.0
STU1728,Robert Krish,Male,20,86,22,74,34,64,280,56.0,94.8,Drama,1.238673894338779,1,0.0,1.0,0.0,0.0,0.0,0.0
